time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.024250	0.986000
0.800000	2.322335	7.481774
1.200000	4.147447	31.243543
1.600000	6.560783	37.666522
2.000000	10.457109	37.959985
2.400000	15.475146	37.985139
2.800000	20.179735	38.002014
3.200000	23.405669	38.019224
3.600000	25.145958	38.037074
4.000000	25.959032	38.055594
4.400000	5.472250	7.383500
4.800000	9.354396	43.522607
5.200000	11.288945	69.420180
5.600000	12.396193	72.391973
6.000000	13.467095	72.557933
6.400000	14.410250	72.592093
6.800000	15.091105	72.620365
7.200000	15.492189	72.648991
7.600000	15.692752	72.678425
8.000000	15.783295	72.708732
8.400000	3.002500	14.283000
8.800000	4.650664	55.579640
9.200000	5.109242	76.644612
9.600000	5.247909	78.687669
10.000000	5.397664	78.832163
10.400000	5.567331	78.901490
10.800000	5.715790	78.969446
11.200000	5.813749	79.038995
11.600000	5.865588	79.110310
12.000000	5.889596	79.183425
12.400000	1.122750	15.837500
12.800000	1.798336	41.481056
13.200000	2.044767	59.640629
13.600000	2.130729	61.688951
14.000000	2.242047	61.954180
14.400000	2.377101	62.146324
14.800000	2.497612	62.339710
15.200000	2.577474	62.537609
15.600000	2.619762	62.740221
16.000000	2.639345	62.947586
16.400000	0.442750	12.487750
16.800000	0.779250	23.535765
17.200000	0.957291	35.967569
17.600000	1.036913	37.649850
18.000000	1.148448	37.985082
18.400000	1.287976	38.269529
18.800000	1.415500	38.558826
19.200000	1.501374	38.855450
19.600000	1.547237	39.159617
20.000000	1.568563	39.471413
20.400000	0.237250	8.005500
20.800000	0.446726	12.948721
21.200000	0.591177	20.508677
21.600000	0.675206	21.734888
22.000000	0.792867	22.010738
22.400000	0.939368	22.254253
22.800000	1.074385	22.503381
23.200000	1.166147	22.759767
23.600000	1.215439	23.023633
24.000000	1.238426	23.295123
24.400000	0.185500	5.143500
24.800000	0.356885	8.530504
25.200000	0.487955	14.335617
25.600000	0.574713	15.414063
26.000000	0.704894	15.611597
26.400000	0.874168	15.778263
26.800000	1.034829	15.949000
27.200000	1.145990	16.125195
27.600000	1.206258	16.307039
28.000000	1.234482	16.494676
28.400000	0.141250	4.060750
28.800000	0.276608	6.541603
29.200000	0.392508	11.210465
29.600000	0.478162	12.138844
30.000000	0.608303	12.302986
30.400000	0.777575	12.439920
30.800000	0.938236	12.580258
31.200000	1.049397	12.725226
31.600000	1.109665	12.875002
32.000000	1.137889	13.029721
32.400000	0.157000	3.607750
32.800000	0.315487	5.914895
33.200000	0.485920	10.481548
33.600000	0.673695	11.495858
34.000000	0.984153	11.649860
34.400000	1.407154	11.771106
