a	b	RFit
0.400000	0.900000	1.395227
0.400000	0.950000	0.810030
0.400000	1.000000	0.752731
0.450000	0.000000	4.296796
0.450000	0.050000	4.321515
0.450000	0.100000	4.227298
0.450000	0.150000	3.966780
0.450000	0.200000	4.160720
0.450000	0.250000	4.112975
0.450000	0.300000	3.980168
0.450000	0.350000	4.106004
0.450000	0.400000	3.905571
0.450000	0.450000	3.774219
0.450000	0.500000	3.770733
0.450000	0.550000	3.623618
0.450000	0.600000	3.405042
0.450000	0.650000	3.275312
0.450000	0.700000	3.404789
0.450000	0.750000	3.032688
0.450000	0.800000	2.343972
0.450000	0.850000	1.824047
0.450000	0.900000	1.479304
0.450000	0.950000	0.829249
0.450000	1.000000	0.743519
0.500000	0.000000	4.285343
0.500000	0.050000	4.058798
0.500000	0.100000	4.171697
0.500000	0.150000	4.206682
0.500000	0.200000	4.136457
0.500000	0.250000	4.127269
0.500000	0.300000	4.051686
0.500000	0.350000	4.004840
0.500000	0.400000	3.957228
0.500000	0.450000	3.990851
0.500000	0.500000	3.636023
0.500000	0.550000	3.605145
0.500000	0.600000	3.664648
0.500000	0.650000	3.400494
0.500000	0.700000	3.414968
0.500000	0.750000	3.091028
0.500000	0.800000	2.316094
0.500000	0.850000	1.753745
0.500000	0.900000	1.463211
0.500000	0.950000	0.817852
0.500000	1.000000	0.758252
0.550000	0.000000	4.284775
0.550000	0.050000	4.378823
0.550000	0.100000	4.407388
0.550000	0.150000	4.220086
0.550000	0.200000	4.241107
0.550000	0.250000	4.082397
0.550000	0.300000	4.121063
0.550000	0.350000	4.167440
0.550000	0.400000	3.855220
0.550000	0.450000	3.802121
0.550000	0.500000	3.591818
0.550000	0.550000	3.669805
0.550000	0.600000	3.580183
0.550000	0.650000	3.503842
0.550000	0.700000	3.318093
0.550000	0.750000	3.242775
0.550000	0.800000	2.109131
0.550000	0.850000	1.482130
0.550000	0.900000	0.919771
0.550000	0.950000	0.824956
0.550000	1.000000	0.743096
0.600000	0.000000	4.234087
0.600000	0.050000	4.216900
0.600000	0.100000	4.148978
0.600000	0.150000	4.345255
0.600000	0.200000	4.155309
0.600000	0.250000	4.163565
0.600000	0.300000	4.108311
0.600000	0.350000	4.007758
0.600000	0.400000	3.801021
0.600000	0.450000	3.820423
0.600000	0.500000	3.658099
0.600000	0.550000	3.599723
0.600000	0.600000	3.556849
0.600000	0.650000	3.516601
0.600000	0.700000	3.392017
0.600000	0.750000	3.346169
0.600000	0.800000	2.010350
0.600000	0.850000	1.608497
0.600000	0.900000	0.899842
0.600000	0.950000	0.807828
0.600000	1.000000	0.755051
0.650000	0.000000	4.340910
0.650000	0.050000	4.092441
0.650000	0.100000	4.264839
0.650000	0.150000	4.227392
0.650000	0.200000	4.195237
0.650000	0.250000	4.106114
0.650000	0.300000	4.025959
0.650000	0.350000	4.147348
0.650000	0.400000	3.936760
0.650000	0.450000	3.835292
0.650000	0.500000	3.753250
