a	b	DFreq
0.010000	1.000000	0.000906
0.020000	0.000000	0.002996
0.020000	0.010000	0.002903
0.020000	0.020000	0.002770
0.020000	0.030000	0.002648
0.020000	0.040000	0.002540
0.020000	0.050000	0.002447
0.020000	0.060000	0.002365
0.020000	0.070000	0.002293
0.020000	0.080000	0.002228
0.020000	0.090000	0.002170
0.020000	0.100000	0.002117
0.020000	0.110000	0.002069
0.020000	0.120000	0.002024
0.020000	0.130000	0.001983
0.020000	0.140000	0.001944
0.020000	0.150000	0.001908
0.020000	0.160000	0.001874
0.020000	0.170000	0.001843
0.020000	0.180000	0.001813
0.020000	0.190000	0.001784
0.020000	0.200000	0.001757
0.020000	0.210000	0.001731
0.020000	0.220000	0.001707
0.020000	0.230000	0.001683
0.020000	0.240000	0.001661
0.020000	0.250000	0.001639
0.020000	0.260000	0.001618
0.020000	0.270000	0.001598
0.020000	0.280000	0.001579
0.020000	0.290000	0.001560
0.020000	0.300000	0.001542
0.020000	0.310000	0.001524
0.020000	0.320000	0.001507
0.020000	0.330000	0.001491
0.020000	0.340000	0.001475
0.020000	0.350000	0.001459
0.020000	0.360000	0.001444
0.020000	0.370000	0.001430
0.020000	0.380000	0.001415
0.020000	0.390000	0.001401
0.020000	0.400000	0.001388
0.020000	0.410000	0.001374
0.020000	0.420000	0.001361
0.020000	0.430000	0.001349
0.020000	0.440000	0.001336
0.020000	0.450000	0.001324
0.020000	0.460000	0.001312
0.020000	0.470000	0.001300
0.020000	0.480000	0.001289
0.020000	0.490000	0.001278
0.020000	0.500000	0.001267
0.020000	0.510000	0.001256
0.020000	0.520000	0.001245
0.020000	0.530000	0.001235
0.020000	0.540000	0.001225
0.020000	0.550000	0.001215
0.020000	0.560000	0.001205
0.020000	0.570000	0.001195
0.020000	0.580000	0.001186
0.020000	0.590000	0.001176
0.020000	0.600000	0.001167
0.020000	0.610000	0.001158
0.020000	0.620000	0.001149
0.020000	0.630000	0.001140
0.020000	0.640000	0.001131
0.020000	0.650000	0.001123
0.020000	0.660000	0.001114
0.020000	0.670000	0.001106
