time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.027000	0.995000
0.800000	2.350722	5.351544
1.200000	4.494472	23.633388
1.600000	7.138591	36.477530
2.000000	10.961743	38.412573
2.400000	15.794407	38.676259
2.800000	20.291046	38.817106
3.200000	23.360909	38.967256
3.600000	25.013270	39.139524
4.000000	25.784461	39.337655
4.400000	5.455500	8.254750
4.800000	8.895435	23.393212
5.200000	12.057106	41.200075
5.600000	14.812741	48.288699
6.000000	17.575956	49.438507
6.400000	20.219873	49.812603
6.800000	22.323009	50.148451
7.200000	23.652213	50.511099
7.600000	24.343133	50.907103
8.000000	24.660796	51.337826
8.400000	4.411000	8.663500
8.800000	7.237420	24.708100
9.200000	9.708723	44.129118
9.600000	11.754796	51.728113
10.000000	13.884682	52.969697
10.400000	16.058698	53.395950
10.800000	17.875100	53.784456
11.200000	19.056103	54.202744
11.600000	19.678570	54.657330
12.000000	19.966539	55.149357
12.400000	2.729500	9.534000
12.800000	4.568855	24.595346
13.200000	6.237273	42.483003
13.600000	7.724127	49.871940
14.000000	9.477080	51.195598
14.400000	11.452188	51.745627
14.800000	13.194604	52.273714
15.200000	14.357153	52.844451
15.600000	14.976915	53.463889
16.000000	15.265024	54.132826
16.400000	1.923250	9.092750
16.800000	3.270915	21.407057
17.200000	4.557989	37.453001
17.600000	5.726063	44.381072
18.000000	7.143365	45.787731
18.400000	8.785632	46.505812
18.800000	10.258869	47.224428
19.200000	11.250285	48.002818
19.600000	11.780929	48.846518
20.000000	12.028040	49.755982
20.400000	1.512500	7.927750
20.800000	2.709882	17.840509
21.200000	3.969638	32.182338
21.600000	5.188214	38.812520
22.000000	6.680864	40.244994
22.400000	8.395816	41.020688
22.800000	9.921716	41.805717
23.200000	10.943514	42.658298
23.600000	11.489082	43.584392
24.000000	11.742864	44.584908
24.400000	1.343000	6.920000
24.800000	2.374397	14.573878
25.200000	3.483681	26.856820
25.600000	4.580948	32.980188
26.000000	5.973928	34.401915
26.400000	7.618560	35.230612
26.800000	9.103477	36.083466
27.200000	10.104795	37.015578
27.600000	10.641097	38.033689
28.000000	10.890903	39.139738
28.400000	1.161250	5.787500
28.800000	2.147681	12.599483
29.200000	3.240970	24.451403
29.600000	4.318298	30.550170
30.000000	5.681450	31.950815
30.400000	7.292003	32.754287
30.800000	8.746745	33.582251
31.200000	9.727694	34.490737
31.600000	10.253033	35.487393
32.000000	10.497715	36.575235
32.400000	1.124500	5.291750
32.800000	2.094031	11.518090
33.200000	3.214316	22.609165
33.600000	4.355881	28.426177
34.000000	5.790647	29.759915
34.400000	7.462519	30.517351
34.800000	8.960762	31.299691
35.200000	9.967366	32.161934
35.600000	10.505605	33.112446
36.000000	10.756133	34.155261
36.400000	1.153250	4.704750
36.800000	2.112563	10.651036
37.200000	3.218623	21.093195
37.600000	4.361952	26.682527
38.000000	5.808039	27.948202
38.400000	7.496890	28.652055
38.800000	9.012836	29.379789
39.200000	10.032432	30.185782
39.600000	10.577924	31.079162
40.000000	10.831893	32.065005
40.400000	1.148000	4.324250
40.800000	2.132083	9.951083
41.200000	3.274891	20.209539
41.600000	4.437100	25.746067
42.000000	5.877880	26.988308
42.400000	7.543712	27.671200
42.800000	9.032048	28.377501
43.200000	10.030773	29.161558
43.600000	10.564517	30.032771
44.000000	10.812897	30.996574
44.400000	1.265000	4.173750
44.800000	2.324842	9.851596
45.200000	3.560904	20.357753
45.600000	4.817014	26.024579
46.000000	6.350081	27.255487
46.400000	8.094994	27.903650
46.800000	9.640909	28.569911
47.200000	10.674569	29.310119
47.600000	11.226202	30.133768
48.000000	11.482763	31.046339
48.400000	1.240750	4.186500
48.800000	2.322640	9.805991
49.200000	3.594461	20.153094
49.600000	4.914618	25.733388
50.000000	6.547334	26.952906
50.400000	8.411044	27.599196
50.800000	10.061956	28.263439
51.200000	11.165160	29.000636
51.600000	11.753670	29.820146
52.000000	12.027328	30.727387
52.400000	1.436000	4.169750
52.800000	2.655059	9.966183
53.200000	4.115201	20.483986
53.600000	5.684282	26.049522
54.000000	7.607946	27.246280
54.400000	9.746773	27.870380
54.800000	11.602121	28.510292
55.200000	12.826428	29.220710
55.600000	13.475407	30.010859
56.000000	13.776313	30.886031
56.400000	1.893250	4.167250
56.800000	3.412639	10.260568
57.200000	5.270803	21.076383
57.600000	7.281394	26.730791
58.000000	9.616669	27.924265
58.400000	12.078769	28.531004
58.800000	14.151364	29.149670
59.200000	15.500479	29.835321
59.600000	16.211580	30.596735
60.000000	16.540533	31.438675
60.400000	2.557750	4.068500
60.800000	4.592014	10.439184
61.200000	7.075578	21.653202
61.600000	9.764203	27.461959
62.000000	12.754509	28.640538
62.400000	15.757505	29.202865
62.800000	18.206864	29.769021
63.200000	19.775923	30.395626
63.600000	20.597069	31.091170
64.000000	20.975781	31.859954
64.400000	2.925250	4.065750
64.800000	5.351327	10.605325
65.200000	8.446323	21.970843
65.600000	11.897826	27.804787
66.000000	15.681596	28.957270
66.400000	19.365294	29.484563
66.800000	22.284777	30.010254
67.200000	24.118291	30.590772
67.600000	25.067473	31.234053
68.000000	25.502997	31.943808
68.400000	3.990000	3.978500
68.800000	7.149675	10.894490
69.200000	11.169528	22.636418
69.600000	15.591837	28.530710
70.000000	20.211677	29.634014
70.400000	24.481192	30.091173
70.800000	27.749617	30.536544
71.200000	29.766553	31.026955
71.600000	30.802656	31.569837
72.000000	31.276530	32.168378
72.400000	5.245500	4.084750
72.800000	9.246019	12.064380
73.200000	14.088559	25.326329
73.600000	19.189082	31.809959
74.000000	24.341830	32.948152
74.400000	28.951089	33.350642
74.800000	32.378583	33.724470
75.200000	34.452010	34.132343
75.600000	35.505684	34.581270
76.000000	35.985153	35.073434
76.400000	6.076500	4.254000
76.800000	10.448180	14.190027
77.200000	15.402993	29.790984
77.600000	20.324105	36.807332
78.000000	25.221152	37.930377
78.400000	29.657766	38.253828
78.800000	33.036755	38.533137
79.200000	35.122661	38.835232
79.600000	36.195339	39.167157
80.000000	36.686269	39.530816
80.400000	6.448500	5.331500
80.800000	10.894718	17.700326
81.200000	15.586200	34.474161
81.600000	20.080595	41.641055
82.000000	24.493074	42.753986
82.400000	28.445333	43.050544
82.800000	31.421825	43.299086
83.200000	33.243989	43.567285
83.600000	34.176595	43.861998
84.000000	34.602444	44.184862
84.400000	5.816500	6.654250
84.800000	9.552743	21.110479
85.200000	13.114979	39.458743
85.600000	16.286223	46.866097
86.000000	19.447623	48.031619
86.400000	22.423699	48.378399
86.800000	24.767914	48.682182
87.200000	26.244734	49.011149
87.600000	27.011881	49.372269
88.000000	27.364567	49.767173
88.400000	4.792250	7.756250
88.800000	7.777118	22.812717
89.200000	10.517724	41.512041
89.600000	12.909777	49.098062
90.000000	15.418410	50.323925
90.400000	17.945597	50.718227
90.800000	20.032804	51.072402
91.200000	21.381305	51.455633
91.600000	22.090002	51.874995
92.000000	22.417459	52.332171
92.400000	3.645000	7.882000
92.800000	6.085827	22.316986
93.200000	8.321062	40.879429
93.600000	10.232236	48.465089
94.000000	12.305747	49.764430
94.400000	14.489217	50.259598
94.800000	16.343842	50.725573
95.200000	17.558921	51.229673
95.600000	18.201469	51.778533
96.000000	18.499141	52.373367
96.400000	2.666000	8.286000
96.800000	4.607495	22.447618
97.200000	6.431885	40.451018
97.600000	8.070477	47.999265
98.000000	9.969375	49.351346
98.400000	12.059078	49.906915
98.800000	13.874948	50.439141
99.200000	15.077552	51.014978
99.600000	15.716578	51.640941
100.000000	16.013232	52.318127
100.400000	2.087250	8.353250
100.800000	3.570610	20.157751
101.200000	5.024175	36.580158
101.600000	6.374577	43.752357
102.000000	8.008703	45.144224
102.400000	9.862963	45.810300
