time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.005500	0.985300
0.800000	2.280460	7.453187
1.200000	4.081809	31.111055
1.600000	6.459850	37.657876
2.000000	10.285996	37.958440
2.400000	15.192710	37.983962
2.800000	19.769132	38.001000
3.200000	22.894042	38.018375
3.600000	24.575674	38.036395
4.000000	25.360398	38.055094
4.400000	5.155700	7.975900
4.800000	8.345772	24.937689
5.200000	11.283998	43.015413
5.600000	14.132215	46.491291
6.000000	17.225418	46.704587
6.400000	20.276241	46.765201
6.800000	22.747246	46.820172
7.200000	24.324472	46.876106
7.600000	25.148130	46.933498
8.000000	25.527586	46.992434
8.400000	3.931100	7.399100
8.800000	6.514374	24.066845
9.200000	8.866438	42.513636
9.600000	11.208075	46.045609
10.000000	13.904663	46.268512
10.400000	16.678027	46.340156
10.800000	18.978804	46.406987
11.200000	20.465412	46.475239
11.600000	21.246169	46.545325
12.000000	21.606754	46.617319
12.400000	3.219000	7.374100
12.800000	5.373098	23.114697
13.200000	7.374290	41.284813
13.600000	9.417328	44.797354
14.000000	11.874488	45.021131
14.400000	14.487642	45.098007
14.800000	16.695993	45.170757
15.200000	18.135143	45.245160
15.600000	18.893753	45.321576
16.000000	19.244646	45.400078
16.400000	2.549500	7.191000
16.800000	4.396105	21.128277
17.200000	6.185463	38.538704
17.600000	8.056798	42.015878
18.000000	10.385092	42.247973
18.400000	12.918796	42.334374
18.800000	15.085362	42.416959
19.200000	16.504774	42.501505
19.600000	17.254662	42.588374
20.000000	17.601847	42.677642
20.400000	2.188900	6.389100
20.800000	3.833643	18.631277
21.200000	5.474190	35.346098
21.600000	7.217814	38.778762
22.000000	9.426143	39.011660
22.400000	11.865637	39.103212
22.800000	13.974829	39.191632
23.200000	15.365969	39.282314
23.600000	16.103453	39.375577
24.000000	16.445431	39.471497
24.400000	2.132500	5.741300
24.800000	3.808024	16.558384
25.200000	5.568476	32.731241
25.600000	7.461389	36.145983
26.000000	9.820292	36.379193
26.400000	12.385134	36.470741
26.800000	14.577032	36.559027
