time	N1	N2
74.400000	17.950123	45.263143
74.800000	20.386958	45.322257
75.200000	21.953397	45.382684
75.600000	22.774895	45.444803
76.000000	23.154152	45.508683
76.400000	3.298250	6.636000
76.800000	5.618719	21.351257
77.200000	7.905097	39.927439
77.600000	10.242296	43.567797
78.000000	12.961173	43.793343
78.400000	15.795340	43.866907
78.800000	18.186165	43.936151
79.200000	19.752610	44.007026
79.600000	20.582160	44.079902
80.000000	20.966842	44.154852
80.400000	3.240750	6.565000
80.800000	5.538845	20.532610
81.200000	7.807460	38.683050
81.600000	10.126036	42.311512
82.000000	12.822632	42.543185
82.400000	15.620640	42.622544
82.800000	17.963896	42.697599
83.200000	19.489780	42.774372
83.600000	20.294936	42.853251
84.000000	20.667654	42.934316
84.400000	3.044500	6.263000
84.800000	5.245048	19.463630
85.200000	7.475089	36.473445
85.600000	9.823007	39.878947
86.000000	12.569441	40.101307
86.400000	15.410309	40.181150
86.800000	17.777830	40.257229
87.200000	19.313882	40.335175
87.600000	20.122771	40.415344
88.000000	20.496861	40.497814
88.400000	2.935250	6.081250
88.800000	5.194286	18.835976
89.200000	7.560825	35.804784
89.600000	10.067465	39.203608
90.000000	12.964027	39.426005
90.400000	15.923002	39.505717
90.800000	18.367839	39.581552
91.200000	19.946794	39.659221
91.600000	20.776535	39.739103
92.000000	21.159925	39.821277
92.400000	2.882500	5.768500
92.800000	5.083183	18.222979
93.200000	7.368824	35.429837
93.600000	9.770931	38.979642
94.000000	12.565031	39.208305
94.400000	15.451070	39.288749
94.800000	17.858028	39.365208
95.200000	19.420924	39.443506
95.600000	20.244314	39.524024
96.000000	20.625188	39.606847
96.400000	3.140000	5.647500
96.800000	5.542261	18.262156
97.200000	7.990241	35.570292
97.600000	10.526631	39.065881
98.000000	13.480861	39.291943
98.400000	16.546146	39.369261
98.800000	19.112519	39.442245
99.200000	20.783578	39.516949
99.600000	21.665378	39.593770
100.000000	22.073592	39.672788
100.400000	2.999250	5.544000
100.800000	5.167178	17.676630
101.200000	7.390199	34.910850
101.600000	9.703279	38.447346
102.000000	12.431636	38.673518
102.400000	15.307258	38.750560
102.800000	17.740396	38.823218
103.200000	19.332191	38.897592
103.600000	20.173627	38.974114
104.000000	20.563401	39.052877
104.400000	2.795000	5.694500
104.800000	4.935839	18.214831
105.200000	7.182284	35.353855
105.600000	9.599513	38.899287
106.000000	12.476231	39.125667
106.400000	15.478689	39.203391
106.800000	17.987155	39.277016
107.200000	19.615056	39.352442
107.600000	20.472218	39.430056
108.000000	20.868598	39.509942
108.400000	3.110750	5.538500
108.800000	5.484780	17.597966
109.200000	8.077878	34.036124
109.600000	10.878762	37.406819
110.000000	14.054260	37.622023
110.400000	17.220702	37.696608
110.800000	19.796278	37.767532
111.200000	21.447700	37.840254
111.600000	22.313013	37.915116
112.000000	22.712385	37.992195
112.400000	3.089250	5.006750
112.800000	5.527486	16.427328
113.200000	8.174725	33.221971
113.600000	10.995643	36.747689
114.000000	14.226277	36.967699
114.400000	17.492779	37.037626
114.800000	20.173656	37.103150
115.200000	21.899725	37.170282
115.600000	22.805668	37.239417
116.000000	23.224071	37.310636
116.400000	3.216000	5.419750
116.800000	5.642860	18.028838
117.200000	8.246772	35.500618
117.600000	11.046282	39.014952
118.000000	14.313342	39.231009
118.400000	17.669948	39.300128
118.800000	20.445209	39.365254
119.200000	22.235494	39.432030
119.600000	23.175359	39.500784
120.000000	23.609403	39.571582
120.400000	3.197000	5.573500
120.800000	5.566862	17.104191
121.200000	8.233542	33.444741
121.600000	11.173677	36.840132
122.000000	14.536730	37.055452
122.400000	17.917827	37.130416
122.800000	20.686013	37.201967
123.200000	22.467329	37.275355
123.600000	23.402219	37.350880
124.000000	23.833997	37.428610
124.400000	3.542250	5.275500
124.800000	6.047648	17.684581
125.200000	8.671670	34.987663
125.600000	11.451105	38.540691
126.000000	14.665233	38.762260
126.400000	17.943536	38.833128
126.800000	20.642514	38.899477
127.200000	22.380288	38.967389
127.600000	23.291882	39.037277
128.000000	23.712738	39.109230
128.400000	3.031250	5.378000
128.800000	5.295256	17.695459
129.200000	7.702933	34.869678
129.600000	10.289554	38.383514
130.000000	13.301732	38.603795
130.400000	16.388695	38.678363
130.800000	18.943171	38.749177
131.200000	20.594502	38.821789
131.600000	21.462750	38.896536
132.000000	21.864042	38.973490
132.400000	3.089250	5.544500
132.800000	5.429754	17.544825
133.200000	7.921051	34.417225
133.600000	10.550440	37.846807
134.000000	13.540447	38.067893
134.400000	16.556084	38.144140
134.800000	19.028426	38.216254
135.200000	20.618563	38.290139
135.600000	21.452529	38.366207
136.000000	21.837533	38.444548
136.400000	2.966500	5.431750
136.800000	5.217806	17.775904
137.200000	7.600707	34.667286
137.600000	10.124359	38.186973
138.000000	13.014586	38.406797
138.400000	15.960181	38.479196
138.800000	18.401981	38.547611
139.200000	19.984594	38.617757
139.600000	20.818002	38.689981
140.000000	21.203472	38.764359
140.400000	3.020750	5.709500
140.800000	5.241670	18.539552
141.200000	7.558656	35.336931
141.600000	10.036859	38.707694
142.000000	12.927880	38.922450
142.400000	15.927022	38.998498
142.800000	18.440657	39.071173
143.200000	20.078425	39.145723
143.600000	20.942844	39.222454
144.000000	21.343038	39.301436
144.400000	2.958000	5.897750
144.800000	5.213040	17.738719
145.200000	7.638592	34.006781
145.600000	10.256796	37.334616
146.000000	13.322697	37.554135
146.400000	16.479370	37.633394
146.800000	19.092331	37.708865
147.200000	20.778847	37.786215
147.600000	21.664428	37.865817
148.000000	22.073436	37.947750
148.400000	2.940500	5.489250
148.800000	5.212369	17.451235
149.200000	7.631415	34.028612
149.600000	10.185197	37.409050
150.000000	13.104891	37.627381
150.400000	16.076688	37.705658
150.800000	18.530731	37.780503
151.200000	20.114855	37.857257
151.600000	20.946926	37.936228
152.000000	21.331287	38.017486
152.400000	2.984750	5.209500
152.800000	5.292500	16.768449
153.200000	7.870297	33.035830
153.600000	10.719543	36.401188
154.000000	14.015326	36.617475
154.400000	17.348712	36.693846
154.800000	20.078594	36.766658
155.200000	21.832633	36.841311
155.600000	22.752137	36.918145
156.000000	23.176551	36.997238
156.400000	3.295250	5.089750
156.800000	5.886229	16.756057
157.200000	8.782581	32.974699
157.600000	11.988150	36.322030
158.000000	15.656117	36.531315
158.400000	19.319942	36.598919
158.800000	22.291318	36.662472
159.200000	24.189097	36.727567
159.600000	25.180870	36.794554
160.000000	25.637987	36.863501
160.400000	3.962000	4.708750
160.800000	7.015300	16.803929
161.200000	10.415973	33.646707
161.600000	14.118512	37.104042
