Time	Coop	Chea
0.000000	0.200000	0.200000
0.050025	0.220141	0.200018
0.100050	0.242258	0.200037
0.150075	0.266536	0.200057
0.200100	0.293172	0.200079
0.250125	0.322380	0.200102
0.300150	0.354389	0.200128
0.350175	0.389446	0.200156
0.400200	0.427813	0.200188
0.450225	0.469771	0.200224
0.500250	0.515618	0.200264
0.550275	0.565668	0.200310
0.600300	0.620251	0.200364
0.650325	0.679713	0.200428
0.700350	0.744412	0.200504
0.750375	0.814719	0.200596
0.800400	0.891012	0.200711
0.850425	0.973674	0.200855
0.900450	1.063088	0.201040
0.950475	1.159632	0.201281
1.000500	1.263671	0.201604
1.050525	1.375553	0.202045
1.100550	1.495597	0.202661
1.150575	1.624085	0.203543
1.200600	1.761251	0.204834
1.250625	1.907268	0.206769
1.300650	2.062233	0.209738
1.350675	2.226151	0.214385
1.400700	2.398913	0.221775
1.450725	2.580262	0.233619
1.500750	2.769756	0.252518
1.550775	2.966714	0.282035
1.600800	3.170156	0.326337
1.650825	3.378765	0.389384
1.700850	3.590875	0.474134
1.750875	3.804506	0.582253
1.800900	4.017419	0.714224
1.850925	4.227196	0.869471
1.900950	4.431340	1.046330
1.950975	4.627399	1.241957
2.001001	4.813101	1.452322
2.051026	4.986491	1.672383
2.101051	5.146054	1.896447
2.151076	5.290791	2.118670
2.201101	5.420253	2.333581
2.251126	5.534517	2.536542
2.301151	5.634121	2.724047
2.351176	5.719964	2.893840
2.401201	5.793194	3.044864
2.451226	5.855102	3.177092
2.501251	5.907029	3.291286
2.551276	5.950290	3.388751
2.601301	5.986123	3.471110
2.651326	6.015661	3.540120
2.701351	6.039910	3.597541
2.751376	6.059750	3.645039
2.801401	6.075938	3.684141
2.851426	6.089116	3.716203
2.901451	6.099823	3.742407
2.951476	6.108509	3.763768
3.001501	6.115547	3.781142
3.051526	6.121244	3.795250
3.101551	6.125851	3.806688
3.151576	6.129575	3.815952
3.201601	6.132583	3.823447
3.251626	6.135012	3.829507
3.301651	6.136972	3.834403
3.351676	6.138554	3.838357
3.401701	6.139830	3.841550
3.451726	6.140859	3.844126
3.501751	6.141689	3.846205
3.551776	6.142358	3.847881
3.601801	6.142898	3.849234
3.651826	6.143333	3.850324
3.701851	6.143684	3.851203
3.751876	6.143966	3.851912
3.801901	6.144194	3.852484
3.851926	6.144378	3.852944
3.901951	6.144526	3.853316
3.951976	6.144645	3.853615
4.002001	0.614465	0.385362
4.052026	0.672171	0.385479
4.102051	0.734853	0.385619
4.152076	0.802855	0.385788
4.202101	0.876527	0.385995
4.252126	0.956223	0.386254
4.302151	1.042298	0.386583
4.352176	1.135100	0.387009
4.402201	1.234969	0.387572
4.452226	1.342225	0.388330
4.502251	1.457163	0.389375
4.552276	1.580042	0.390846
4.602301	1.711079	0.392965
4.652326	1.850431	0.396084
4.702351	1.998183	0.400777
4.752376	2.154329	0.407980
4.802401	2.318744	0.419217
4.852426	2.491150	0.436930
4.902451	2.671061	0.464862
4.952476	2.857710	0.508292
5.002501	3.049965	0.573715
5.052526	3.246255	0.667658
5.102551	3.444553	0.795030
5.152576	3.642428	0.957982
5.202601	3.837166	1.155727
5.252626	4.025937	1.384874
5.302651	4.205978	1.639818
5.352676	4.374794	1.913139
5.402701	4.530341	2.196163
5.452726	4.671169	2.479743
5.502751	4.796500	2.755171
5.552776	4.906225	3.015006
5.602801	5.000831	3.253661
5.652826	5.081275	3.467638
5.702851	5.148837	3.655435
5.752876	5.204969	3.817225
5.802901	5.251175	3.954413
5.852926	5.288914	4.069193
5.902951	5.319536	4.164158
5.952976	5.344249	4.242009
6.003002	5.364105	4.305351
6.053027	5.380002	4.356573
6.103052	5.392692	4.397791
6.153077	5.402798	4.430826
6.203102	5.410832	4.457219
6.253127	5.417209	4.478253
6.303152	5.422264	4.494981
6.353177	5.426268	4.508263
6.403202	5.429437	4.518796
6.453227	5.431943	4.527140
6.503252	5.433925	4.533746
6.553277	5.435491	4.538971
6.603302	5.436728	4.543102
6.653327	5.437706	4.546367
6.703352	5.438477	4.548947
6.753377	5.439087	4.550985
6.803402	5.439568	4.552595
6.853427	5.439948	4.553866
6.903452	5.440248	4.554869
6.953477	5.440484	4.555662
7.003502	5.440671	4.556287
7.053527	5.440819	4.556781
7.103552	5.440935	4.557170
7.153577	5.441027	4.557478
7.203602	5.441099	4.557720
7.253627	5.441156	4.557912
7.303652	5.441202	4.558063
7.353677	5.441237	4.558183
7.403702	5.441265	4.558277
7.453727	5.441288	4.558351
7.503752	5.441305	4.558410
7.553777	5.441319	4.558456
7.603802	5.441330	4.558493
7.653827	5.441338	4.558521
7.703852	5.441345	4.558544
7.753877	5.441351	4.558562
7.803902	5.441355	4.558576
7.853927	5.441358	4.558587
7.903952	5.441361	4.558596
7.953977	5.441363	4.558603
8.004002	0.544136	0.455860
8.054027	0.595256	0.455972
8.104052	0.650831	0.456102
8.154077	0.711181	0.456256
8.204102	0.776636	0.456440
8.254127	0.847537	0.456665
8.304152	0.924225	0.456944
8.354177	1.007046	0.457294
8.404202	1.096340	0.457743
8.454227	1.192439	0.458330
8.504252	1.295661	0.459113
8.554277	1.406300	0.460178
8.604302	1.524621	0.461659
8.654327	1.650847	0.463763
8.704352	1.785150	0.466820
8.754377	1.927636	0.471356
8.804402	2.078327	0.478225
8.854427	2.237140	0.488813
8.904452	2.403849	0.505350
8.954477	2.578039	0.531313
9.004502	2.759038	0.571795
9.054527	2.945826	0.633491
9.104552	3.136946	0.723805
9.154577	3.330460	0.849095
9.204602	3.523970	1.012916
9.254627	3.714736	1.215252
9.304652	3.899859	1.452716
9.354677	4.076482	1.719125
9.404702	4.242015	2.006137
9.454727	4.394337	2.303995
9.504752	4.531949	2.602473
9.554777	4.654056	2.891913
9.604802	4.760567	3.164168
9.654827	4.852010	3.413227
9.704852	4.929394	3.635449
9.754877	4.994051	3.829420
9.804902	5.047479	3.995546
9.854927	5.091213	4.135546
9.904952	5.126728	4.251943
9.954977	5.155380	4.347637
10.005003	5.178370	4.425591
10.055028	5.196736	4.488620
10.105053	5.211356	4.539277
10.155078	5.222960	4.579792
10.205103	5.232151	4.612071
10.255128	5.239416	4.637709
10.305153	5.245151	4.658023
10.355178	5.249672	4.674088
10.405203	5.253234	4.686772
10.455228	5.256038	4.696775
10.505253	5.258245	4.704656
10.555278	5.259979	4.710861
10.605303	5.261343	4.715743
10.655328	5.262415	4.719583
10.705353	5.263257	4.722601
10.755378	5.263919	4.724974
10.805403	5.264439	4.726838
10.855428	5.264847	4.728302
10.905453	5.265167	4.729453
10.955478	5.265419	4.730356
11.005503	5.265617	4.731066
11.055528	5.265772	4.731623
11.105553	5.265894	4.732061
11.155578	5.265990	4.732405
11.205603	5.266065	4.732674
11.255628	5.266124	4.732886
11.305653	5.266170	4.733053
11.355678	5.266206	4.733183
11.405703	5.266235	4.733286
11.455728	5.266257	4.733366
11.505753	5.266275	4.733430
11.555778	5.266289	4.733479
11.605803	5.266300	4.733518
11.655828	5.266308	4.733549
11.705853	5.266315	4.733573
11.755878	5.266320	4.733592
11.805903	5.266324	4.733606
11.855928	5.266328	4.733618
11.905953	5.266330	4.733627
11.955978	5.266332	4.733634
12.006003	0.526633	0.473363
12.056028	0.576114	0.473473
12.106053	0.629917	0.473600
12.156078	0.688357	0.473750
12.206103	0.751760	0.473929
12.256128	0.820459	0.474145
12.306153	0.894794	0.474411
12.356178	0.975106	0.474743
12.406203	1.061736	0.475166
12.456228	1.155017	0.475714
12.506253	1.255270	0.476439
12.556278	1.362796	0.477417
12.606303	1.477869	0.478765
