a	b	RFitCoV
0.400000	0.850000	1.352468
0.400000	0.900000	1.203357
0.400000	0.950000	1.563137
0.400000	1.000000	1.494971
0.450000	0.000000	1.483166
0.450000	0.050000	1.490788
0.450000	0.100000	1.488121
0.450000	0.150000	1.499002
0.450000	0.200000	1.482603
0.450000	0.250000	1.489168
0.450000	0.300000	1.490789
0.450000	0.350000	1.482957
0.450000	0.400000	1.486977
0.450000	0.450000	1.481280
0.450000	0.500000	1.466530
0.450000	0.550000	1.476688
0.450000	0.600000	1.463261
0.450000	0.650000	1.455130
0.450000	0.700000	1.436236
0.450000	0.750000	1.395439
0.450000	0.800000	1.315017
0.450000	0.850000	1.304633
0.450000	0.900000	1.236308
0.450000	0.950000	1.549659
0.450000	1.000000	1.503543
0.500000	0.000000	1.481145
0.500000	0.050000	1.498715
0.500000	0.100000	1.493428
0.500000	0.150000	1.487158
0.500000	0.200000	1.485285
0.500000	0.250000	1.486086
0.500000	0.300000	1.486968
0.500000	0.350000	1.488404
0.500000	0.400000	1.471454
0.500000	0.450000	1.464900
0.500000	0.500000	1.489367
0.500000	0.550000	1.490479
0.500000	0.600000	1.478887
0.500000	0.650000	1.439304
0.500000	0.700000	1.415552
0.500000	0.750000	1.377388
0.500000	0.800000	1.333799
0.500000	0.850000	1.234434
0.500000	0.900000	1.338333
0.500000	0.950000	1.549567
0.500000	1.000000	1.491593
0.550000	0.000000	1.488248
0.550000	0.050000	1.478457
0.550000	0.100000	1.489603
0.550000	0.150000	1.490481
0.550000	0.200000	1.477380
0.550000	0.250000	1.490705
0.550000	0.300000	1.479750
0.550000	0.350000	1.488913
0.550000	0.400000	1.476889
0.550000	0.450000	1.472722
0.550000	0.500000	1.496593
0.550000	0.550000	1.468259
0.550000	0.600000	1.457770
0.550000	0.650000	1.411032
0.550000	0.700000	1.407288
0.550000	0.750000	1.355145
0.550000	0.800000	1.235686
0.550000	0.850000	1.162149
0.550000	0.900000	1.564035
0.550000	0.950000	1.554845
0.550000	1.000000	1.503257
0.600000	0.000000	1.499686
0.600000	0.050000	1.479189
0.600000	0.100000	1.489898
0.600000	0.150000	1.485438
0.600000	0.200000	1.484394
0.600000	0.250000	1.480789
0.600000	0.300000	1.486167
0.600000	0.350000	1.492925
0.600000	0.400000	1.487958
0.600000	0.450000	1.492420
0.600000	0.500000	1.471536
0.600000	0.550000	1.464561
0.600000	0.600000	1.447086
0.600000	0.650000	1.413021
0.600000	0.700000	1.352243
0.600000	0.750000	1.281773
0.600000	0.800000	1.182800
0.600000	0.850000	1.171055
0.600000	0.900000	1.562196
0.600000	0.950000	1.554197
0.600000	1.000000	1.495431
0.650000	0.000000	1.494824
0.650000	0.050000	1.491732
0.650000	0.100000	1.479879
0.650000	0.150000	1.492342
0.650000	0.200000	1.478777
0.650000	0.250000	1.485299
0.650000	0.300000	1.490462
0.650000	0.350000	1.484364
0.650000	0.400000	1.475630
0.650000	0.450000	1.460716
0.650000	0.500000	1.447360
0.650000	0.550000	1.424512
0.650000	0.600000	1.405691
0.650000	0.650000	1.327971
0.650000	0.700000	1.270508
0.650000	0.750000	1.168351
0.650000	0.800000	1.298025
0.650000	0.850000	1.226999
0.650000	0.900000	1.545938
0.650000	0.950000	1.554864
0.650000	1.000000	1.505313
0.700000	0.000000	1.487708
0.700000	0.050000	1.483962
0.700000	0.100000	1.490144
