a	b	amp
0.400000	0.900000	0.003334
0.400000	0.950000	0.003600
0.400000	1.000000	0.003503
0.450000	0.000000	0.000000
0.450000	0.050000	0.000000
0.450000	0.100000	0.000000
0.450000	0.150000	0.000000
0.450000	0.200000	0.000000
0.450000	0.250000	0.000000
0.450000	0.300000	0.000000
0.450000	0.350000	0.000000
0.450000	0.400000	0.000000
0.450000	0.450000	0.000000
0.450000	0.500000	0.000000
0.450000	0.550000	0.000000
0.450000	0.600000	0.000000
0.450000	0.650000	0.000000
0.450000	0.700000	0.000000
0.450000	0.750000	0.000164
0.450000	0.800000	0.008401
0.450000	0.850000	0.003773
0.450000	0.900000	0.003322
0.450000	0.950000	0.003510
0.450000	1.000000	0.003422
0.500000	0.000000	0.000000
0.500000	0.050000	0.000000
0.500000	0.100000	0.000000
0.500000	0.150000	0.000000
0.500000	0.200000	0.000000
0.500000	0.250000	0.000000
0.500000	0.300000	0.000000
0.500000	0.350000	0.000000
0.500000	0.400000	0.000000
0.500000	0.450000	0.000000
0.500000	0.500000	0.000000
0.500000	0.550000	0.000000
0.500000	0.600000	0.000000
0.500000	0.650000	0.000000
0.500000	0.700000	0.000000
0.500000	0.750000	0.000519
0.500000	0.800000	0.007623
0.500000	0.850000	0.004230
0.500000	0.900000	0.003602
0.500000	0.950000	0.003830
0.500000	1.000000	0.003734
0.550000	0.000000	0.000000
0.550000	0.050000	0.000000
0.550000	0.100000	0.000000
0.550000	0.150000	0.000000
0.550000	0.200000	0.000000
0.550000	0.250000	0.000000
0.550000	0.300000	0.000000
0.550000	0.350000	0.000000
0.550000	0.400000	0.000000
0.550000	0.450000	0.000000
0.550000	0.500000	0.000000
0.550000	0.550000	0.000000
0.550000	0.600000	0.000000
0.550000	0.650000	0.000000
0.550000	0.700000	0.000000
0.550000	0.750000	0.003306
0.550000	0.800000	0.005720
0.550000	0.850000	0.003707
0.550000	0.900000	0.003449
0.550000	0.950000	0.003855
0.550000	1.000000	0.003408
0.600000	0.000000	0.000000
0.600000	0.050000	0.000000
0.600000	0.100000	0.000000
0.600000	0.150000	0.000000
0.600000	0.200000	0.000000
0.600000	0.250000	0.000000
0.600000	0.300000	0.000000
0.600000	0.350000	0.000000
0.600000	0.400000	0.000000
0.600000	0.450000	0.000000
0.600000	0.500000	0.000000
0.600000	0.550000	0.000000
0.600000	0.600000	0.000000
0.600000	0.650000	0.000000
0.600000	0.700000	0.000000
0.600000	0.750000	0.004306
0.600000	0.800000	0.005595
0.600000	0.850000	0.003835
0.600000	0.900000	0.003221
0.600000	0.950000	0.003390
0.600000	1.000000	0.003704
0.650000	0.000000	0.000000
0.650000	0.050000	0.000000
0.650000	0.100000	0.000000
0.650000	0.150000	0.000000
0.650000	0.200000	0.000000
0.650000	0.250000	0.000000
0.650000	0.300000	0.000000
0.650000	0.350000	0.000000
0.650000	0.400000	0.000000
0.650000	0.450000	0.000000
0.650000	0.500000	0.000000
0.650000	0.550000	0.000000
0.650000	0.600000	0.000000
0.650000	0.650000	0.000000
0.650000	0.700000	0.000000
0.650000	0.750000	0.014578
0.650000	0.800000	0.004489
0.650000	0.850000	0.003917
0.650000	0.900000	0.003570
0.650000	0.950000	0.003557
0.650000	1.000000	0.003895
0.700000	0.000000	0.000000
0.700000	0.050000	0.000000
0.700000	0.100000	0.000000
0.700000	0.150000	0.000000
0.700000	0.200000	0.000000
0.700000	0.250000	0.000000
0.700000	0.300000	0.000000
0.700000	0.350000	0.000000
0.700000	0.400000	0.000000
0.700000	0.450000	0.000000
0.700000	0.500000	0.000000
0.700000	0.550000	0.000000
0.700000	0.600000	0.000000
0.700000	0.650000	0.000000
0.700000	0.700000	0.000625
0.700000	0.750000	0.009942
0.700000	0.800000	0.005014
0.700000	0.850000	0.004118
0.700000	0.900000	0.004640
0.700000	0.950000	0.003534
0.700000	1.000000	0.003553
0.750000	0.000000	0.000000
0.750000	0.050000	0.000000
0.750000	0.100000	0.000000
0.750000	0.150000	0.000000
0.750000	0.200000	0.000000
0.750000	0.250000	0.000000
0.750000	0.300000	0.000000
0.750000	0.350000	0.000000
0.750000	0.400000	0.000000
0.750000	0.450000	0.000000
0.750000	0.500000	0.000000
0.750000	0.550000	0.000000
0.750000	0.600000	0.000000
0.750000	0.650000	0.000000
0.750000	0.700000	0.001678
0.750000	0.750000	0.008359
0.750000	0.800000	0.005295
0.750000	0.850000	0.004064
0.750000	0.900000	0.003442
0.750000	0.950000	0.003387
0.750000	1.000000	0.003575
0.800000	0.000000	0.000000
0.800000	0.050000	0.000000
0.800000	0.100000	0.000000
0.800000	0.150000	0.000000
0.800000	0.200000	0.000000
0.800000	0.250000	0.000000
0.800000	0.300000	0.000000
0.800000	0.350000	0.000000
0.800000	0.400000	0.000000
0.800000	0.450000	0.000000
0.800000	0.500000	0.000000
0.800000	0.550000	0.000000
0.800000	0.600000	0.000000
0.800000	0.650000	0.000000
0.800000	0.700000	0.017908
0.800000	0.750000	0.008631
0.800000	0.800000	0.005164
0.800000	0.850000	0.004111
0.800000	0.900000	0.003671
0.800000	0.950000	0.003917
0.800000	1.000000	0.003488
0.850000	0.000000	0.000000
0.850000	0.050000	0.000000
0.850000	0.100000	0.000000
0.850000	0.150000	0.000000
0.850000	0.200000	0.000000
0.850000	0.250000	0.000000
0.850000	0.300000	0.000000
0.850000	0.350000	0.000000
0.850000	0.400000	0.000000
0.850000	0.450000	0.000000
0.850000	0.500000	0.000000
0.850000	0.550000	0.000000
0.850000	0.600000	0.003876
0.850000	0.650000	0.046723
0.850000	0.700000	0.019184
0.850000	0.750000	0.009991
0.850000	0.800000	0.005705
0.850000	0.850000	0.004148
0.850000	0.900000	0.003897
0.850000	0.950000	0.003779
0.850000	1.000000	0.003526
0.900000	0.000000	0.000000
0.900000	0.050000	0.000000
0.900000	0.100000	0.000000
0.900000	0.150000	0.000000
0.900000	0.200000	0.000000
0.900000	0.250000	0.000000
0.900000	0.300000	0.000000
0.900000	0.350000	0.000000
0.900000	0.400000	0.000000
0.900000	0.450000	0.021178
0.900000	0.500000	0.068845
0.900000	0.550000	0.076098
0.900000	0.600000	0.074312
0.900000	0.650000	0.048930
0.900000	0.700000	0.019490
0.900000	0.750000	0.009533
0.900000	0.800000	0.006223
0.900000	0.850000	0.004650
0.900000	0.900000	0.003741
0.900000	0.950000	0.003782
0.900000	1.000000	0.003920
0.950000	0.000000	0.019075
0.950000	0.050000	0.099704
0.950000	0.100000	0.063072
0.950000	0.150000	0.084466
0.950000	0.200000	0.104314
0.950000	0.250000	0.093756
0.950000	0.300000	0.114947
0.950000	0.350000	0.094710
0.950000	0.400000	0.087964
0.950000	0.450000	0.075439
0.950000	0.500000	0.127964
0.950000	0.550000	0.072631
0.950000	0.600000	0.058659
0.950000	0.650000	0.043868
0.950000	0.700000	0.024485
0.950000	0.750000	0.013257
0.950000	0.800000	0.005928
0.950000	0.850000	0.004594
0.950000	0.900000	0.004495
0.950000	0.950000	0.003949
0.950000	1.000000	0.003957
1.000000	0.000000	0.085886
1.000000	0.050000	0.092296
1.000000	0.100000	0.094471
1.000000	0.150000	0.107188
1.000000	0.200000	0.081127
1.000000	0.250000	0.089736
1.000000	0.300000	0.073215
1.000000	0.350000	0.093118
1.000000	0.400000	0.077094
1.000000	0.450000	0.072757
1.000000	0.500000	0.080090
1.000000	0.550000	0.066107
1.000000	0.600000	0.053443
1.000000	0.650000	0.043550
1.000000	0.700000	0.025592
1.000000	0.750000	0.011987
1.000000	0.800000	0.006564
1.000000	0.850000	0.005016
1.000000	0.900000	0.003847
1.000000	0.950000	0.003753
1.000000	1.000000	0.003485
