a	b	DRel	MRel
0.000000	0.000000	0.000000	1.000000
0.000000	0.010000	0.000013	0.998415
0.000000	0.020000	0.000027	0.997774
0.000000	0.030000	0.000035	0.997418
0.000000	0.040000	0.000039	0.997171
0.000000	0.050000	0.000043	0.996977
0.000000	0.060000	0.000046	0.996813
0.000000	0.070000	0.000048	0.996668
0.000000	0.080000	0.000049	0.996537
0.000000	0.090000	0.000051	0.996415
0.000000	0.100000	0.000052	0.996301
0.000000	0.110000	0.000053	0.996193
0.000000	0.120000	0.000054	0.996090
0.000000	0.130000	0.000055	0.995991
0.000000	0.140000	0.000056	0.995896
0.000000	0.150000	0.000057	0.995803
0.000000	0.160000	0.000058	0.995714
0.000000	0.170000	0.000058	0.995626
0.000000	0.180000	0.000059	0.995541
0.000000	0.190000	0.000060	0.995457
0.000000	0.200000	0.000060	0.995375
0.000000	0.210000	0.000061	0.995295
0.000000	0.220000	0.000061	0.995216
0.000000	0.230000	0.000062	0.995138
0.000000	0.240000	0.000062	0.995062
0.000000	0.250000	0.000063	0.994986
0.000000	0.260000	0.000063	0.994912
0.000000	0.270000	0.000064	0.994838
0.000000	0.280000	0.000064	0.994765
0.000000	0.290000	0.000065	0.994693
0.000000	0.300000	0.000065	0.994622
0.000000	0.310000	0.000066	0.994552
0.000000	0.320000	0.000066	0.994482
0.000000	0.330000	0.000066	0.994413
0.000000	0.340000	0.000067	0.994344
0.000000	0.350000	0.000067	0.994276
0.000000	0.360000	0.000068	0.994208
0.000000	0.370000	0.000068	0.994141
0.000000	0.380000	0.000068	0.994074
0.000000	0.390000	0.000069	0.994008
0.000000	0.400000	0.000069	0.993942
0.000000	0.410000	0.000069	0.993877
0.000000	0.420000	0.000069	0.993812
0.000000	0.430000	0.000070	0.993747
0.000000	0.440000	0.000070	0.993683
0.000000	0.450000	0.000070	0.993619
0.000000	0.460000	0.000071	0.993555
0.000000	0.470000	0.000071	0.993492
0.000000	0.480000	0.000071	0.993429
0.000000	0.490000	0.000071	0.993366
0.000000	0.500000	0.000072	0.993304
0.000000	0.510000	0.000072	0.993241
0.000000	0.520000	0.000072	0.993179
0.000000	0.530000	0.000072	0.993117
0.000000	0.540000	0.000073	0.993056
0.000000	0.550000	0.000073	0.992994
0.000000	0.560000	0.000073	0.992933
0.000000	0.570000	0.000073	0.992872
0.000000	0.580000	0.000073	0.992811
0.000000	0.590000	0.000074	0.992751
0.000000	0.600000	0.000074	0.992690
0.000000	0.610000	0.000074	0.992630
0.000000	0.620000	0.000074	0.992570
0.000000	0.630000	0.000074	0.992509
0.000000	0.640000	0.000075	0.992450
0.000000	0.650000	0.000075	0.992390
0.000000	0.660000	0.000075	0.992330
0.000000	0.670000	0.000075	0.992271
0.000000	0.680000	0.000075	0.992211
0.000000	0.690000	0.000075	0.992152
0.000000	0.700000	0.000076	0.992093
0.000000	0.710000	0.000076	0.992034
0.000000	0.720000	0.000076	0.991975
0.000000	0.730000	0.000076	0.991916
0.000000	0.740000	0.000076	0.991858
0.000000	0.750000	0.000076	0.991799
0.000000	0.760000	0.000076	0.991740
0.000000	0.770000	0.000077	0.991682
0.000000	0.780000	0.000077	0.991624
0.000000	0.790000	0.000077	0.991565
0.000000	0.800000	0.000077	0.991507
0.000000	0.810000	0.000077	0.991449
0.000000	0.820000	0.000077	0.991391
0.000000	0.830000	0.000077	0.991333
0.000000	0.840000	0.000077	0.991275
0.000000	0.850000	0.000078	0.991217
0.000000	0.860000	0.000078	0.991159
0.000000	0.870000	0.000078	0.991102
0.000000	0.880000	0.000078	0.991044
0.000000	0.890000	0.000078	0.990986
0.000000	0.900000	0.000078	0.990929
0.000000	0.910000	0.000078	0.990871
0.000000	0.920000	0.000078	0.990814
0.000000	0.930000	0.000078	0.990756
0.000000	0.940000	0.000078	0.990699
0.000000	0.950000	0.000078	0.990642
0.000000	0.960000	0.000078	0.990584
0.000000	0.970000	0.000079	0.990527
0.000000	0.980000	0.000079	0.990470
0.000000	0.990000	0.000079	0.990413
0.000000	1.000000	0.000079	0.990355
0.010000	0.000000	0.005761	0.999173
0.010000	0.010000	0.006283	0.998228
0.010000	0.020000	0.006583	0.997755
0.010000	0.030000	0.006782	0.997447
0.010000	0.040000	0.006926	0.997214
0.010000	0.050000	0.007038	0.997023
0.010000	0.060000	0.007127	0.996857
0.010000	0.070000	0.007201	0.996709
0.010000	0.080000	0.007263	0.996574
0.010000	0.090000	0.007317	0.996448
0.010000	0.100000	0.007364	0.996330
0.010000	0.110000	0.007406	0.996217
0.010000	0.120000	0.007443	0.996110
0.010000	0.130000	0.007476	0.996007
0.010000	0.140000	0.007506	0.995907
0.010000	0.150000	0.007534	0.995811
0.010000	0.160000	0.007559	0.995717
0.010000	0.170000	0.007583	0.995626
0.010000	0.180000	0.007604	0.995537
0.010000	0.190000	0.007624	0.995450
0.010000	0.200000	0.007643	0.995365
0.010000	0.210000	0.007661	0.995281
0.010000	0.220000	0.007677	0.995199
0.010000	0.230000	0.007692	0.995118
0.010000	0.240000	0.007707	0.995038
0.010000	0.250000	0.007721	0.994959
0.010000	0.260000	0.007734	0.994882
0.010000	0.270000	0.007746	0.994805
0.010000	0.280000	0.007758	0.994729
0.010000	0.290000	0.007769	0.994654
0.010000	0.300000	0.007779	0.994580
0.010000	0.310000	0.007789	0.994507
0.010000	0.320000	0.007799	0.994434
0.010000	0.330000	0.007808	0.994362
0.010000	0.340000	0.007817	0.994291
0.010000	0.350000	0.007825	0.994220
0.010000	0.360000	0.007834	0.994150
0.010000	0.370000	0.007841	0.994080
0.010000	0.380000	0.007849	0.994010
0.010000	0.390000	0.007856	0.993942
0.010000	0.400000	0.007863	0.993873
0.010000	0.410000	0.007869	0.993805
0.010000	0.420000	0.007876	0.993738
0.010000	0.430000	0.007882	0.993671
0.010000	0.440000	0.007888	0.993604
0.010000	0.450000	0.007894	0.993537
0.010000	0.460000	0.007899	0.993471
0.010000	0.470000	0.007905	0.993405
0.010000	0.480000	0.007910	0.993340
0.010000	0.490000	0.007915	0.993275
0.010000	0.500000	0.007920	0.993210
0.010000	0.510000	0.007924	0.993145
0.010000	0.520000	0.007929	0.993081
0.010000	0.530000	0.007933	0.993016
0.010000	0.540000	0.007938	0.992953
0.010000	0.550000	0.007942	0.992889
0.010000	0.560000	0.007946	0.992825
0.010000	0.570000	0.007950	0.992762
0.010000	0.580000	0.007954	0.992699
0.010000	0.590000	0.007957	0.992636
0.010000	0.600000	0.007961	0.992573
0.010000	0.610000	0.007964	0.992511
0.010000	0.620000	0.007968	0.992448
0.010000	0.630000	0.007971	0.992386
0.010000	0.640000	0.007974	0.992324
0.010000	0.650000	0.007977	0.992262
0.010000	0.660000	0.007980	0.992201
0.010000	0.670000	0.007983	0.992139
0.010000	0.680000	0.007986	0.992078
0.010000	0.690000	0.007989	0.992016
0.010000	0.700000	0.007992	0.991955
0.010000	0.710000	0.007994	0.991894
0.010000	0.720000	0.007997	0.991833
0.010000	0.730000	0.007999	0.991772
0.010000	0.740000	0.008002	0.991711
0.010000	0.750000	0.008004	0.991651
0.010000	0.760000	0.008007	0.991590
0.010000	0.770000	0.008009	0.991530
0.010000	0.780000	0.008011	0.991469
0.010000	0.790000	0.008013	0.991409
0.010000	0.800000	0.008015	0.991349
0.010000	0.810000	0.008017	0.991289
0.010000	0.820000	0.008019	0.991229
0.010000	0.830000	0.008021	0.991169
0.010000	0.840000	0.008023	0.991109
0.010000	0.850000	0.008025	0.991049
0.010000	0.860000	0.008027	0.990989
0.010000	0.870000	0.008029	0.990930
0.010000	0.880000	0.008031	0.990870
0.010000	0.890000	0.008032	0.990811
0.010000	0.900000	0.008034	0.990751
0.010000	0.910000	0.008035	0.990692
0.010000	0.920000	0.008037	0.990632
0.010000	0.930000	0.008039	0.990573
0.010000	0.940000	0.008040	0.990514
0.010000	0.950000	0.008041	0.990455
0.010000	0.960000	0.008043	0.990395
0.010000	0.970000	0.008044	0.990336
0.010000	0.980000	0.008046	0.990277
0.010000	0.990000	0.008047	0.990218
0.010000	1.000000	0.008048	0.990159
0.020000	0.000000	0.012929	0.998398
0.020000	0.010000	0.013520	0.997833
0.020000	0.020000	0.013895	0.997486
0.020000	0.030000	0.014160	0.997231
0.020000	0.040000	0.014360	0.997026
0.020000	0.050000	0.014519	0.996851
0.020000	0.060000	0.014648	0.996695
0.020000	0.070000	0.014757	0.996554
0.020000	0.080000	0.014850	0.996423
0.020000	0.090000	0.014931	0.996300
0.020000	0.100000	0.015003	0.996184
0.020000	0.110000	0.015066	0.996073
0.020000	0.120000	0.015123	0.995967
0.020000	0.130000	0.015174	0.995864
0.020000	0.140000	0.015221	0.995765
0.020000	0.150000	0.015264	0.995669
0.020000	0.160000	0.015303	0.995575
0.020000	0.170000	0.015339	0.995483
0.020000	0.180000	0.015373	0.995394
0.020000	0.190000	0.015404	0.995306
0.020000	0.200000	0.015434	0.995220
0.020000	0.210000	0.015461	0.995135
0.020000	0.220000	0.015487	0.995052
0.020000	0.230000	0.015511	0.994970
0.020000	0.240000	0.015534	0.994889
0.020000	0.250000	0.015555	0.994809
0.020000	0.260000	0.015576	0.994730
0.020000	0.270000	0.015595	0.994652
0.020000	0.280000	0.015614	0.994576
0.020000	0.290000	0.015631	0.994499
0.020000	0.300000	0.015648	0.994424
0.020000	0.310000	0.015664	0.994349
0.020000	0.320000	0.015679	0.994275
0.020000	0.330000	0.015693	0.994202
0.020000	0.340000	0.015707	0.994129
0.020000	0.350000	0.015721	0.994057
0.020000	0.360000	0.015733	0.993985
0.020000	0.370000	0.015746	0.993914
0.020000	0.380000	0.015757	0.993843
0.020000	0.390000	0.015769	0.993773
0.020000	0.400000	0.015779	0.993703
0.020000	0.410000	0.015790	0.993634
0.020000	0.420000	0.015800	0.993565
0.020000	0.430000	0.015810	0.993496
0.020000	0.440000	0.015819	0.993428
0.020000	0.450000	0.015828	0.993360
0.020000	0.460000	0.015837	0.993292
0.020000	0.470000	0.015845	0.993225
0.020000	0.480000	0.015854	0.993158
0.020000	0.490000	0.015861	0.993091
0.020000	0.500000	0.015869	0.993025
0.020000	0.510000	0.015876	0.992958
0.020000	0.520000	0.015884	0.992892
0.020000	0.530000	0.015891	0.992827
0.020000	0.540000	0.015897	0.992761
0.020000	0.550000	0.015904	0.992696
0.020000	0.560000	0.015910	0.992631
0.020000	0.570000	0.015916	0.992566
0.020000	0.580000	0.015922	0.992502
0.020000	0.590000	0.015928	0.992437
0.020000	0.600000	0.015934	0.992373
0.020000	0.610000	0.015939	0.992309
0.020000	0.620000	0.015944	0.992245
0.020000	0.630000	0.015950	0.992181
0.020000	0.640000	0.015955	0.992118
0.020000	0.650000	0.015959	0.992054
0.020000	0.660000	0.015964	0.991991
0.020000	0.670000	0.015969	0.991928
0.020000	0.680000	0.015973	0.991865
0.020000	0.690000	0.015978	0.991802
0.020000	0.700000	0.015982	0.991739
0.020000	0.710000	0.015986	0.991677
0.020000	0.720000	0.015990	0.991614
0.020000	0.730000	0.015994	0.991552
0.020000	0.740000	0.015998	0.991489
0.020000	0.750000	0.016001	0.991427
0.020000	0.760000	0.016005	0.991365
0.020000	0.770000	0.016008	0.991303
0.020000	0.780000	0.016012	0.991241
0.020000	0.790000	0.016015	0.991180
0.020000	0.800000	0.016018	0.991118
0.020000	0.810000	0.016022	0.991056
0.020000	0.820000	0.016025	0.990995
0.020000	0.830000	0.016028	0.990933
0.020000	0.840000	0.016031	0.990872
0.020000	0.850000	0.016033	0.990811
0.020000	0.860000	0.016036	0.990750
0.020000	0.870000	0.016039	0.990688
0.020000	0.880000	0.016042	0.990627
0.020000	0.890000	0.016044	0.990566
0.020000	0.900000	0.016047	0.990505
0.020000	0.910000	0.016049	0.990444
0.020000	0.920000	0.016052	0.990384
0.020000	0.930000	0.016054	0.990323
0.020000	0.940000	0.016056	0.990262
0.020000	0.950000	0.016058	0.990201
0.020000	0.960000	0.016060	0.990141
0.020000	0.970000	0.016063	0.990080
0.020000	0.980000	0.016065	0.990020
0.020000	0.990000	0.016067	0.989959
0.020000	1.000000	0.016069	0.989899
0.030000	0.000000	0.020855	0.997678
0.030000	0.010000	0.021368	0.997321
0.030000	0.020000	0.021721	0.997064
0.030000	0.030000	0.021985	0.996859
0.030000	0.040000	0.022191	0.996684
0.030000	0.050000	0.022358	0.996529
0.030000	0.060000	0.022498	0.996388
0.030000	0.070000	0.022617	0.996258
0.030000	0.080000	0.022720	0.996136
0.030000	0.090000	0.022810	0.996020
0.030000	0.100000	0.022890	0.995909
0.030000	0.110000	0.022962	0.995803
0.030000	0.120000	0.023026	0.995700
0.030000	0.130000	0.023085	0.995601
0.030000	0.140000	0.023139	0.995505
0.030000	0.150000	0.023188	0.995410
0.030000	0.160000	0.023233	0.995319
0.030000	0.170000	0.023276	0.995229
0.030000	0.180000	0.023315	0.995140
0.030000	0.190000	0.023351	0.995054
0.030000	0.200000	0.023385	0.994968
0.030000	0.210000	0.023417	0.994885
0.030000	0.220000	0.023447	0.994802
0.030000	0.230000	0.023476	0.994720
0.030000	0.240000	0.023503	0.994640
0.030000	0.250000	0.023528	0.994560
0.030000	0.260000	0.023552	0.994482
0.030000	0.270000	0.023575	0.994404
0.030000	0.280000	0.023596	0.994327
0.030000	0.290000	0.023617	0.994251
0.030000	0.300000	0.023637	0.994175
0.030000	0.310000	0.023655	0.994100
0.030000	0.320000	0.023673	0.994026
0.030000	0.330000	0.023690	0.993952
0.030000	0.340000	0.023707	0.993879
0.030000	0.350000	0.023722	0.993806
0.030000	0.360000	0.023738	0.993734
0.030000	0.370000	0.023752	0.993662
0.030000	0.380000	0.023766	0.993591
0.030000	0.390000	0.023779	0.993520
0.030000	0.400000	0.023792	0.993449
0.030000	0.410000	0.023804	0.993379
0.030000	0.420000	0.023816	0.993309
0.030000	0.430000	0.023828	0.993240
0.030000	0.440000	0.023839	0.993171
0.030000	0.450000	0.023850	0.993102
0.030000	0.460000	0.023860	0.993034
0.030000	0.470000	0.023870	0.992966
0.030000	0.480000	0.023880	0.992898
0.030000	0.490000	0.023889	0.992830
0.030000	0.500000	0.023898	0.992763
0.030000	0.510000	0.023907	0.992696
0.030000	0.520000	0.023915	0.992629
0.030000	0.530000	0.023923	0.992562
0.030000	0.540000	0.023931	0.992496
0.030000	0.550000	0.023939	0.992430
0.030000	0.560000	0.023946	0.992364
0.030000	0.570000	0.023954	0.992298
0.030000	0.580000	0.023961	0.992232
0.030000	0.590000	0.023967	0.992167
0.030000	0.600000	0.023974	0.992102
0.030000	0.610000	0.023980	0.992037
0.030000	0.620000	0.023986	0.991972
0.030000	0.630000	0.023992	0.991907
0.030000	0.640000	0.023998	0.991842
0.030000	0.650000	0.024004	0.991778
0.030000	0.660000	0.024010	0.991713
0.030000	0.670000	0.024015	0.991649
0.030000	0.680000	0.024020	0.991585
0.030000	0.690000	0.024025	0.991521
0.030000	0.700000	0.024030	0.991457
0.030000	0.710000	0.024035	0.991394
0.030000	0.720000	0.024039	0.991330
0.030000	0.730000	0.024044	0.991267
0.030000	0.740000	0.024048	0.991203
0.030000	0.750000	0.024053	0.991140
0.030000	0.760000	0.024057	0.991077
0.030000	0.770000	0.024061	0.991014
0.030000	0.780000	0.024065	0.990951
0.030000	0.790000	0.024069	0.990888
0.030000	0.800000	0.024072	0.990825
0.030000	0.810000	0.024076	0.990762
0.030000	0.820000	0.024079	0.990700
0.030000	0.830000	0.024083	0.990637
0.030000	0.840000	0.024086	0.990575
0.030000	0.850000	0.024090	0.990512
0.030000	0.860000	0.024093	0.990450
0.030000	0.870000	0.024096	0.990388
0.030000	0.880000	0.024099	0.990325
0.030000	0.890000	0.024102	0.990263
0.030000	0.900000	0.024104	0.990201
0.030000	0.910000	0.024107	0.990139
0.030000	0.920000	0.024110	0.990077
0.030000	0.930000	0.024112	0.990015
0.030000	0.940000	0.024115	0.989953
0.030000	0.950000	0.024117	0.989892
0.030000	0.960000	0.024120	0.989830
0.030000	0.970000	0.024122	0.989768
0.030000	0.980000	0.024124	0.989706
0.030000	0.990000	0.024127	0.989645
0.030000	1.000000	0.024129	0.989583
0.040000	0.000000	0.029160	0.996999
0.040000	0.010000	0.029566	0.996755
0.040000	0.020000	0.029865	0.996560
0.040000	0.030000	0.030097	0.996394
0.040000	0.040000	0.030285	0.996245
0.040000	0.050000	0.030441	0.996110
0.040000	0.060000	0.030573	0.995984
0.040000	0.070000	0.030688	0.995866
0.040000	0.080000	0.030788	0.995753
0.040000	0.090000	0.030876	0.995646
0.040000	0.100000	0.030955	0.995542
0.040000	0.110000	0.031027	0.995441
0.040000	0.120000	0.031091	0.995344
0.040000	0.130000	0.031150	0.995249
0.040000	0.140000	0.031205	0.995156
0.040000	0.150000	0.031254	0.995066
0.040000	0.160000	0.031301	0.994977
0.040000	0.170000	0.031344	0.994889
0.040000	0.180000	0.031384	0.994804
0.040000	0.190000	0.031421	0.994719
0.040000	0.200000	0.031456	0.994636
0.040000	0.210000	0.031489	0.994553
0.040000	0.220000	0.031520	0.994472
0.040000	0.230000	0.031549	0.994392
0.040000	0.240000	0.031577	0.994313
0.040000	0.250000	0.031603	0.994234
0.040000	0.260000	0.031628	0.994156
0.040000	0.270000	0.031651	0.994079
0.040000	0.280000	0.031674	0.994003
0.040000	0.290000	0.031695	0.993927
